iter	Logloss
0	0.5427833012
1	0.4332306998
2	0.3704559326
3	0.3123522077
4	0.2533291408
5	0.227079555
6	0.1973348345
7	0.171975817
8	0.1519528253
9	0.1341048649
10	0.120745945
11	0.1082438333
12	0.09927983965
13	0.08883572987
14	0.08220386505
15	0.07660376004
16	0.07060044152
17	0.06664472307
18	0.06355346952
19	0.05992517471
20	0.05501835006
21	0.05188362258
22	0.04851330689
23	0.04566947733
24	0.04348193918
25	0.04157132081
26	0.03970859391
27	0.03843726771
28	0.03678166526
29	0.0356405701
30	0.03362836497
31	0.03212644713
32	0.03119898524
33	0.03013878209
34	0.02857652732
35	0.02751664604
36	0.02635472843
37	0.02552643503
38	0.02453397342
39	0.02354586295
40	0.02266957079
41	0.02183133364
42	0.02119536059
43	0.02034773827
44	0.01959802594
45	0.01915266514
46	0.01871647154
47	0.0182471105
48	0.0176283615
49	0.01706313065
